"","subject","display","screen","task","block","response","rt","correct","correctResponse","T1.pie","T1.reward","T1.fractalInfo","T1.fractalOut","T1.leftInfo","T1.rightInfo","T1.leftOut","T1.rightOut","mapping","T2.leftFractal","T2.rightFractal","T3.img"
"634","1","T1Trial","Wait",1,"H","","1499.992",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"635","1","T1Trial","Outcome",1,"H","left","439.8",1,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"636","1","T1Trial","left",1,"H","","999.988",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"637","1","T1Trial","Blank",1,"H","","16.669",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"638","1","T1Trial","Progress",1,"H","","999.89",0,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","34.png","","","",""
"639","1","T1Trial","Pie",1,"H","","1000.116",0,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","34.png","","","",""
"640","1","T1Trial","Wait",1,"H","","1500.031",0,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","34.png","","","",""
"641","1","T1Trial","Outcome",1,"H","right","345.7",1,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","34.png","","","",""
"642","1","T1Trial","right",1,"H","","1000.055",0,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","34.png","","","",""
"643","1","T1Trial","Blank",1,"H","","16.657",0,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","34.png","","","",""
"644","1","T1Trial","Progress",1,"H","","999.975",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","16.png","f4.png","","","",""
"645","1","T1Trial","Pie",1,"H","","999.971",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","16.png","f4.png","","","",""
"646","1","T1Trial","Wait",1,"H","","1500.019",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","16.png","f4.png","","","",""
"647","1","T1Trial","Outcome",1,"H","left","359.3",1,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","16.png","f4.png","","","",""
"648","1","T1Trial","left",1,"H","","999.959",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","16.png","f4.png","","","",""
"649","1","T1Trial","Blank",1,"H","","16.744",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","16.png","f4.png","","","",""
"650","1","T1Trial","Progress",1,"H","","999.95",0,"left","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","33.png","f4.png","","","",""
"651","1","T1Trial","Pie",1,"H","","1000.007",0,"left","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","33.png","f4.png","","","",""
"652","1","T1Trial","Wait",1,"H","","1499.999",0,"left","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","33.png","f4.png","","","",""
"653","1","T1Trial","Outcome",1,"H","left","396.5",1,"left","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","33.png","f4.png","","","",""
"654","1","T1Trial","left",1,"H","","1000.009",0,"left","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","33.png","f4.png","","","",""
"655","1","T1Trial","Blank",1,"H","","16.662",0,"left","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","33.png","f4.png","","","",""
"656","1","T1Trial","Progress",1,"H","","1000.147",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"657","1","T1Trial","Pie",1,"H","","1000.008",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"658","1","T1Trial","Wait",1,"H","","1499.993",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"659","1","T1Trial","Outcome",1,"H","left","568.1",1,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"660","1","T1Trial","left",1,"H","","999.951",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"661","1","T1Trial","Blank",1,"H","","16.683",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"662","1","T1Trial","Progress",1,"H","","999.988",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","22.png","f0.png","","","",""
"663","1","T1Trial","Pie",1,"H","","999.979",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","22.png","f0.png","","","",""
"664","1","T1Trial","Wait",1,"H","","1499.991",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","22.png","f0.png","","","",""
"665","1","T1Trial","Outcome",1,"H","left","382.3",1,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","22.png","f0.png","","","",""
"666","1","T1Trial","left",1,"H","","999.844",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","22.png","f0.png","","","",""
"667","1","T1Trial","Blank",1,"H","","16.794",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","22.png","f0.png","","","",""
"668","1","T1Trial","Progress",1,"H","","999.971",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","59.png","","","",""
"669","1","T1Trial","Pie",1,"H","","1000.009",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","59.png","","","",""
"670","1","T1Trial","Wait",1,"H","","1499.981",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","59.png","","","",""
"671","1","T1Trial","Outcome",1,"H","right","353.5",1,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","59.png","","","",""
"672","1","T1Trial","right",1,"H","","999.991",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","59.png","","","",""
"673","1","T1Trial","Blank",1,"H","","16.78",0,"right","pie1.png",1,"f1.png","f4.png","pie1.png","f1.png","f4.png","59.png","","","",""
"674","1","T1Trial","Progress",1,"H","","999.978",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","47.png","f4.png","","","",""
"675","1","T1Trial","Pie",1,"H","","999.902",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","47.png","f4.png","","","",""
"676","1","T1Trial","Wait",1,"H","","1500.155",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","47.png","f4.png","","","",""
"677","1","T1Trial","Outcome",1,"H","left","407.8",1,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","47.png","f4.png","","","",""
"678","1","T1Trial","left",1,"H","","999.984",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","47.png","f4.png","","","",""
"679","1","T1Trial","Blank",1,"H","","16.542",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","47.png","f4.png","","","",""
"680","1","T1Trial","Progress",1,"H","","1000.125",0,"left","pie13.png",1,"f2.png","f6.png","pie13.png","f2.png","31.png","f6.png","","","",""
"681","1","T1Trial","Pie",1,"H","","999.995",0,"left","pie13.png",1,"f2.png","f6.png","pie13.png","f2.png","31.png","f6.png","","","",""
"682","1","T1Trial","Wait",1,"H","","1499.992",0,"left","pie13.png",1,"f2.png","f6.png","pie13.png","f2.png","31.png","f6.png","","","",""
"683","1","T1Trial","Outcome",1,"H","left","411.1",1,"left","pie13.png",1,"f2.png","f6.png","pie13.png","f2.png","31.png","f6.png","","","",""
"684","1","T1Trial","left",1,"H","","1000.149",0,"left","pie13.png",1,"f2.png","f6.png","pie13.png","f2.png","31.png","f6.png","","","",""
"685","1","T1Trial","Blank",1,"H","","16.62",0,"left","pie13.png",1,"f2.png","f6.png","pie13.png","f2.png","31.png","f6.png","","","",""
"686","1","T1Trial","Progress",1,"H","","1000.014",0,"left","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","42.png","f0.png","","","",""
"687","1","T1Trial","Pie",1,"H","","999.8",0,"left","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","42.png","f0.png","","","",""
"688","1","T1Trial","Wait",1,"H","","1500.056",0,"left","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","42.png","f0.png","","","",""
"689","1","T1Trial","Outcome",1,"H","left","388.7",1,"left","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","42.png","f0.png","","","",""
"690","1","T1Trial","left",1,"H","","999.975",0,"left","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","42.png","f0.png","","","",""
"691","1","T1Trial","Blank",1,"H","","16.673",0,"left","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","42.png","f0.png","","","",""
"692","1","T1Trial","Progress",1,"H","","1000.133",0,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","51.png","","","",""
"693","1","T1Trial","Pie",1,"H","","999.887",0,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","51.png","","","",""
"694","1","T1Trial","Wait",1,"H","","1499.982",0,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","51.png","","","",""
"695","1","T1Trial","Outcome",1,"H","right","393.3",1,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","51.png","","","",""
"696","1","T1Trial","right",1,"H","","999.763",0,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","51.png","","","",""
"697","1","T1Trial","Blank",1,"H","","16.535",0,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","51.png","","","",""
"698","1","T1Trial","Progress",1,"H","","1000.261",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"699","1","T1Trial","Pie",1,"H","","999.848",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"700","1","T1Trial","Wait",1,"H","","1500.149",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"701","1","T1Trial","Outcome",1,"H","left","390.2",1,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"702","1","T1Trial","left",1,"H","","999.953",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"703","1","T1Trial","Blank",1,"H","","16.567",0,"left","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","0.png","f7.png","","","",""
"704","1","T1Trial","Progress",1,"H","","1000.129",0,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"705","1","T1Trial","Pie",1,"H","","999.854",0,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"706","1","T1Trial","Wait",1,"H","","1500.148",0,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
