"","subject","task","display","screen","rt","response","T2.leftFractal","T2.rightFractal","trial","T2.chosenFractal"
"98","5",2,"T2Trial","Choice","656.9","left","fp13H","fp13L",2,"fp13H"
"99","5",2,"T2Trial","Choice","542","right","fp13H","fp1H",3,"fp1H"
"100","5",2,"T2Trial","Choice","707.8","right","fp13H","fp1H",4,"fp1H"
"101","5",2,"T2Trial","Choice","494.7","left","fr0p0","fr0p13",5,"fr0p0"
"102","5",2,"T2Trial","Choice","505.6","left","fp13H","fr0p13",6,"fp13H"
"103","5",2,"T2Trial","Choice","487.2","right","fr0p13","fr0p0",7,"fr0p0"
"104","5",2,"T2Trial","Choice","587.7","left","fr0p0","fp13L",8,"fr0p0"
"105","5",2,"T2Trial","Choice","587.4","left","fr0p0","fr0p13",9,"fr0p0"
"106","5",2,"T2Trial","Choice","681.2","left","fp13H","fr0p13",10,"fp13H"
"107","5",2,"T2Trial","Choice","755.3","left","fr0p0","fp13L",11,"fr0p0"
"108","5",2,"T2Trial","Choice","791.3","right","fr1p1","fr1p13",12,"fr1p13"
"109","5",2,"T2Trial","Choice","664.1","left","fp13H","fp13L",13,"fp13H"
"110","5",2,"T2Trial","Choice","546.8","right","fr1p13","fr1p1",14,"fr1p1"
"111","5",2,"T2Trial","Choice","710.7","right","fp13L","fp13H",15,"fp13H"
"112","5",2,"T2Trial","Choice","561.1","left","fp13H","fr0p13",16,"fp13H"
"113","5",2,"T2Trial","Choice","537.7","right","fp13L","fr0p0",17,"fr0p0"
"114","5",2,"T2Trial","Choice","497.1","right","fp13L","fp13H",18,"fp13H"
"115","5",2,"T2Trial","Choice","467.7","right","fp1H","fp13H",19,"fp13H"
"116","5",2,"T2Trial","Choice","515.5","left","fr1p1","fr1p13",20,"fr1p1"
"117","5",2,"T2Trial","Choice","611.7","left","fp13H","fp1H",21,"fp13H"
"118","5",2,"T2Trial","Choice","413.8","right","fr0p13","fp13H",22,"fp13H"
"119","5",2,"T2Trial","Choice","590.2","right","fr0p13","fr0p0",23,"fr0p0"
"120","5",2,"T2Trial","Choice","434.6","left","fr0p0","fp13L",24,"fr0p0"
"121","6",2,"T2Trial","Choice","1539.6","left","fp1H","fp13H",1,"fp1H"
"122","6",2,"T2Trial","Choice","1041.8","right","fr1p1","fr1p13",2,"fr1p13"
"123","6",2,"T2Trial","Choice","794.7","left","fp13H","fp1H",3,"fp13H"
"124","6",2,"T2Trial","Choice","850.4000001","left","fr0p0","fp13L",4,"fr0p0"
"125","6",2,"T2Trial","Choice","692","left","fr0p13","fr0p0",5,"fr0p13"
"126","6",2,"T2Trial","Choice","948","left","fp13H","fp13L",6,"fp13H"
"127","6",2,"T2Trial","Choice","672.3","left","fp13L","fr0p0",7,"fp13L"
"128","6",2,"T2Trial","Choice","828.1999998","right","fr1p13","fr1p1",8,"fr1p1"
"129","6",2,"T2Trial","Choice","902.3","left","fr1p1","fr1p13",9,"fr1p1"
"130","6",2,"T2Trial","Choice","626.4000001","left","fp13H","fr0p13",10,"fp13H"
"131","6",2,"T2Trial","Choice","713.0999999","right","fr0p0","fr0p13",11,"fr0p13"
"132","6",2,"T2Trial","Choice","639.2","left","fp13H","fr0p13",12,"fp13H"
"133","6",2,"T2Trial","Choice","944.5","left","fr1p1","fr1p13",13,"fr1p1"
"134","6",2,"T2Trial","Choice","891.5","left","fr0p13","fr0p0",14,"fr0p13"
"135","6",2,"T2Trial","Choice","1080.4","left","fp13L","fr0p0",15,"fp13L"
"136","6",2,"T2Trial","Choice","634.1999998","left","fp13L","fr0p0",16,"fp13L"
"137","6",2,"T2Trial","Choice","1115.6","right","fr0p0","fr0p13",17,"fr0p13"
"138","6",2,"T2Trial","Choice","758.7","right","fr0p13","fp13H",18,"fp13H"
"139","6",2,"T2Trial","Choice","480.8","left","fp13H","fp13L",19,"fp13H"
"140","6",2,"T2Trial","Choice","447.0999999","left","fp13H","fr0p13",20,"fp13H"
"141","6",2,"T2Trial","Choice","432.3","right","fp1H","fp13H",21,"fp13H"
"142","6",2,"T2Trial","Choice","869.8000002","left","fp13H","fp1H",22,"fp13H"
"143","6",2,"T2Trial","Choice","591.1999998","right","fp13L","fp13H",23,"fp13H"
"144","6",2,"T2Trial","Choice","481.6000001","left","fp13H","fp13L",24,"fp13H"
"145","7",2,"T2Trial","Choice","2003","","fr1p13","fr1p1",1,""
"146","7",2,"T2Trial","Choice","889","right","fp13H","fp13L",2,"fp13L"
"147","7",2,"T2Trial","Choice","1007","left","fr1p13","fr1p1",3,"fr1p13"
"148","7",2,"T2Trial","Choice","695","right","fr0p0","fp13L",4,"fp13L"
"149","7",2,"T2Trial","Choice","1018","left","fp13H","fr0p13",5,"fp13H"
"150","7",2,"T2Trial","Choice","703","left","fp13L","fr0p0",6,"fp13L"
"151","7",2,"T2Trial","Choice","954","right","fr0p13","fp13H",7,"fp13H"
"152","7",2,"T2Trial","Choice","1037","left","fp1H","fp13H",8,"fp1H"
"153","7",2,"T2Trial","Choice","1054","left","fr0p0","fr0p13",9,"fr0p0"
"154","7",2,"T2Trial","Choice","821","left","fp13L","fr0p0",10,"fp13L"
"155","7",2,"T2Trial","Choice","877","left","fr0p0","fr0p13",11,"fr0p0"
"156","7",2,"T2Trial","Choice","857","right","fr0p13","fr0p0",12,"fr0p0"
"157","7",2,"T2Trial","Choice","1375","right","fp13H","fp1H",13,"fp1H"
"158","7",2,"T2Trial","Choice","812","right","fr1p1","fr1p13",14,"fr1p13"
