"","subject","task","display","screen","rt","response","T3.img","trial"
"158","3",3,"T3Trial","Rating Screen","731.1",3,"38.png",14
"159","3",3,"T3Trial","Rating Screen","973.1",0,"35.png",15
"160","3",3,"T3Trial","Rating Screen","563.3",1,"64.png",16
"161","3",3,"T3Trial","Rating Screen","574.9",1,"1.png",17
"162","3",3,"T3Trial","Rating Screen","847.5",1,"66.png",18
"163","3",3,"T3Trial","Rating Screen","741.8",1,"28.png",19
"164","3",3,"T3Trial","Rating Screen","1065.1",1,"8.png",20
"165","3",3,"T3Trial","Rating Screen","1800.3",3,"49.png",21
"166","3",3,"T3Trial","Rating Screen","1778.3",1,"23.png",22
"167","3",3,"T3Trial","Rating Screen","750.3",2,"4.png",23
"168","3",3,"T3Trial","Rating Screen","1143",1,"44.png",24
"169","3",3,"T3Trial","Rating Screen","685",1,"40.png",25
"170","3",3,"T3Trial","Rating Screen","1547.5",1,"52.png",26
"171","3",3,"T3Trial","Rating Screen","1518",3,"3.png",27
"172","3",3,"T3Trial","Rating Screen","1197.2",3,"56.png",28
"173","3",3,"T3Trial","Rating Screen","860.4",3,"25.png",29
"174","3",3,"T3Trial","Rating Screen","676.7",3,"33.png",30
"175","3",3,"T3Trial","Rating Screen","1388",0,"47.png",31
"176","3",3,"T3Trial","Rating Screen","831.3",0,"30.png",32
"177","3",3,"T3Trial","Rating Screen","1229.6",1,"57.png",33
"178","3",3,"T3Trial","Rating Screen","608",1,"9.png",34
"179","3",3,"T3Trial","Rating Screen","800.7",1,"53.png",35
"180","3",3,"T3Trial","Rating Screen","1358.8",3,"27.png",36
"181","3",3,"T3Trial","Rating Screen","887.6",1,"10.png",37
"182","3",3,"T3Trial","Rating Screen","887",1,"26.png",38
"183","3",3,"T3Trial","Rating Screen","622.8",1,"11.png",39
"184","3",3,"T3Trial","Rating Screen","735.9",1,"63.png",40
"185","3",3,"T3Trial","Rating Screen","779.3",1,"12.png",41
"186","3",3,"T3Trial","Rating Screen","1362.3",1,"32.png",42
"187","3",3,"T3Trial","Rating Screen","922.7",1,"50.png",43
"188","3",3,"T3Trial","Rating Screen","1072.1",1,"68.png",44
"189","3",3,"T3Trial","Rating Screen","1242.8",0,"7.png",45
"190","3",3,"T3Trial","Rating Screen","634.8",0,"54.png",46
"191","3",3,"T3Trial","Rating Screen","1741.7",1,"61.png",47
"192","3",3,"T3Trial","Rating Screen","1167.2",2,"69.png",48
"193","3",3,"T3Trial","Rating Screen","1837.1",0,"41.png",49
"194","3",3,"T3Trial","Rating Screen","575.3",1,"20.png",50
"195","3",3,"T3Trial","Rating Screen","627.7",1,"22.png",51
"196","3",3,"T3Trial","Rating Screen","968.7",2,"43.png",52
"197","3",3,"T3Trial","Rating Screen","709.9",1,"72.png",53
"198","3",3,"T3Trial","Rating Screen","721.7",1,"6.png",54
"199","3",3,"T3Trial","Rating Screen","736.7",1,"17.png",55
"200","3",3,"T3Trial","Rating Screen","1581.4",3,"59.png",56
"201","3",3,"T3Trial","Rating Screen","799.4",1,"71.png",57
"202","3",3,"T3Trial","Rating Screen","975",1,"46.png",58
"203","3",3,"T3Trial","Rating Screen","1031.9",2,"36.png",59
"204","3",3,"T3Trial","Rating Screen","1193.8",3,"45.png",60
"205","3",3,"T3Trial","Rating Screen","1883.2",3,"48.png",61
"206","3",3,"T3Trial","Rating Screen","1068.3",3,"2.png",62
"207","3",3,"T3Trial","Rating Screen","851.2",1,"29.png",63
"208","3",3,"T3Trial","Rating Screen","787.2",1,"37.png",64
"209","3",3,"T3Trial","Rating Screen","486.5",2,"18.png",65
"210","3",3,"T3Trial","Rating Screen","624.1",1,"62.png",66
"211","3",3,"T3Trial","Rating Screen","560.5",1,"14.png",67
"212","3",3,"T3Trial","Rating Screen","440.7",1,"34.png",68
"213","3",3,"T3Trial","Rating Screen","490.6",1,"31.png",69
"214","3",3,"T3Trial","Rating Screen","640.8",1,"55.png",70
"215","3",3,"T3Trial","Rating Screen","536.7",1,"67.png",71
"216","3",3,"T3Trial","Rating Screen","638.8",1,"39.png",72
"217","4",3,"T3Trial","Rating Screen","2401.7",3,"42.png",1
"218","4",3,"T3Trial","Rating Screen","1774.2",2,"66.png",2
"219","4",3,"T3Trial","Rating Screen","1367.2",2,"21.png",3
"220","4",3,"T3Trial","Rating Screen","1241.2",3,"55.png",4
"221","4",3,"T3Trial","Rating Screen","1698.8",3,"51.png",5
"222","4",3,"T3Trial","Rating Screen","2065.9",3,"24.png",6
"223","4",3,"T3Trial","Rating Screen","1656",2,"13.png",7
"224","4",3,"T3Trial","Rating Screen","1536",3,"64.png",8
"225","4",3,"T3Trial","Rating Screen","2396.4",3,"7.png",9
"226","4",3,"T3Trial","Rating Screen","2063.2",1,"33.png",10
"227","4",3,"T3Trial","Rating Screen","1541.2",1,"20.png",11
"228","4",3,"T3Trial","Rating Screen","1264.4",3,"27.png",12
"229","4",3,"T3Trial","Rating Screen","2312.4",3,"8.png",13
"230","4",3,"T3Trial","Rating Screen","1540.8",3,"49.png",14
"231","4",3,"T3Trial","Rating Screen","2887.6",0,"65.png",15
"232","4",3,"T3Trial","Rating Screen","2150.3",0,"71.png",16
"233","4",3,"T3Trial","Rating Screen","2105.4",3,"69.png",17
"234","4",3,"T3Trial","Rating Screen","1812.1",2,"37.png",18
"235","4",3,"T3Trial","Rating Screen","1616.6",3,"46.png",19
"236","4",3,"T3Trial","Rating Screen","954.8",3,"58.png",20
"237","4",3,"T3Trial","Rating Screen","1494.5",3,"48.png",21
"238","4",3,"T3Trial","Rating Screen","1435.5",3,"53.png",22
"239","4",3,"T3Trial","Rating Screen","1051",3,"29.png",23
"240","4",3,"T3Trial","Rating Screen","1754.4",3,"38.png",24
"241","4",3,"T3Trial","Rating Screen","1478.6",2,"18.png",25
"242","4",3,"T3Trial","Rating Screen","1777.4",1,"4.png",26
"243","4",3,"T3Trial","Rating Screen","2287.4",2,"3.png",27
"244","4",3,"T3Trial","Rating Screen","1452.9",2,"60.png",28
"245","4",3,"T3Trial","Rating Screen","1065.3",2,"54.png",29
"246","4",3,"T3Trial","Rating Screen","1040.2",3,"11.png",30
"247","4",3,"T3Trial","Rating Screen","854.7",3,"56.png",31
"248","4",3,"T3Trial","Rating Screen","1039.1",3,"67.png",32
"249","4",3,"T3Trial","Rating Screen","976.8",3,"62.png",33
"250","4",3,"T3Trial","Rating Screen","1034.2",3,"2.png",34
"251","4",3,"T3Trial","Rating Screen","2170.3",0,"5.png",35
"252","4",3,"T3Trial","Rating Screen","2342.3",1,"28.png",36
"253","4",3,"T3Trial","Rating Screen","2030.1",3,"32.png",37
"254","4",3,"T3Trial","Rating Screen","1732.5",2,"39.png",38
"255","4",3,"T3Trial","Rating Screen","1719.2",3,"50.png",39
"256","4",3,"T3Trial","Rating Screen","1045.8",3,"52.png",40
"257","4",3,"T3Trial","Rating Screen","1414.1",3,"15.png",41
"258","4",3,"T3Trial","Rating Screen","775.3",3,"59.png",42
"259","4",3,"T3Trial","Rating Screen","1535.8",2,"41.png",43
